 acc_segments acc_ssd gyro_segments gyro_ssd
6.100000 0 0.069355 0 0.141359
6.150000 0 0.069355 0 0.141359
6.200000 0 0.069355 0 0.141359
6.250000 0 0.069355 0 0.141359
6.300000 0 0.069355 0 0.141359
6.350000 0 0.069355 0 0.141359
6.400000 0 0.069355 0 0.141359
6.450000 0 0.069355 0 0.141359
6.500000 0 0.069355 0 0.141359
6.550000 0 0.069355 0 0.141359
6.600000 0 0.069355 0 0.141359
6.650000 0 0.065416 0 0.176367
6.700000 0 0.065416 0 0.176367
6.750000 0 0.065416 0 0.176367
6.800000 0 0.065416 0 0.176367
6.850000 0 0.065416 0 0.176367
6.900000 0 0.065416 0 0.176367
6.950000 0 0.065416 0 0.176367
7.000000 0 0.065416 0 0.176367
7.050000 0 0.065416 0 0.176367
7.100000 0 0.065416 0 0.176367
7.150000 0 0.065416 0 0.176367
7.200000 1 0.005850 0 0.042238
7.250000 1 0.005850 0 0.042238
7.300000 1 0.005850 0 0.042238
7.350000 1 0.005850 0 0.042238
7.400000 1 0.005850 0 0.042238
7.450000 1 0.005850 0 0.042238
7.500000 1 0.005850 0 0.042238
7.550000 1 0.005850 0 0.042238
7.600000 1 0.005850 0 0.042238
7.650000 1 0.005850 0 0.042238
7.700000 1 0.005850 0 0.042238
7.750000 1 0.004369 1 0.005779
7.800000 1 0.004369 1 0.005779
7.850000 1 0.004369 1 0.005779
7.900000 1 0.004369 1 0.005779
7.950000 1 0.004369 1 0.005779
8.000000 1 0.004369 1 0.005779
8.050000 1 0.004369 1 0.005779
8.100000 1 0.004369 1 0.005779
8.150001 1 0.004369 1 0.005779
8.200000 1 0.004369 1 0.005779
8.250000 1 0.004369 1 0.005779
8.300000 1 0.002604 1 0.004958
8.350000 1 0.002604 1 0.004958
8.400001 1 0.002604 1 0.004958
8.450000 1 0.002604 1 0.004958
8.500000 1 0.002604 1 0.004958
8.550000 1 0.002604 1 0.004958
8.600000 1 0.002604 1 0.004958
8.650001 1 0.002604 1 0.004958
8.700000 1 0.002604 1 0.004958
8.750000 1 0.002604 1 0.004958
8.800000 1 0.002604 1 0.004958
8.850000 1 0.002233 1 0.006783
8.900001 1 0.002233 1 0.006783
8.950000 1 0.002233 1 0.006783
9.000000 1 0.002233 1 0.006783
9.050000 1 0.002233 1 0.006783
9.100000 1 0.002233 1 0.006783
9.150001 1 0.002233 1 0.006783
9.200000 1 0.002233 1 0.006783
9.250000 1 0.002233 1 0.006783
9.300000 1 0.002233 1 0.006783
9.350000 1 0.002233 1 0.006783
9.400001 1 0.001907 1 0.005191
9.450000 1 0.001907 1 0.005191
9.500000 1 0.001907 1 0.005191
9.550000 1 0.001907 1 0.005191
9.600000 1 0.001907 1 0.005191
9.650001 1 0.001907 1 0.005191
9.700000 1 0.001907 1 0.005191
9.750000 1 0.001907 1 0.005191
9.800000 1 0.001907 1 0.005191
9.850000 1 0.001907 1 0.005191
9.900001 1 0.001907 1 0.005191
9.950000 1 0.004397 1 0.010670
10.000000 1 0.004397 1 0.010670
10.050000 1 0.004397 1 0.010670
10.100000 1 0.004397 1 0.010670
10.150000 1 0.004397 1 0.010670
10.200000 1 0.004397 1 0.010670
10.250000 1 0.004397 1 0.010670
10.300000 1 0.004397 1 0.010670
10.350000 1 0.004397 1 0.010670
10.400000 1 0.004397 1 0.010670
10.450000 1 0.004397 1 0.010670
10.500000 0 0.045434 0 0.037303
10.550000 0 0.045434 0 0.037303
10.600000 0 0.045434 0 0.037303
10.650000 0 0.045434 0 0.037303
10.700000 0 0.045434 0 0.037303
10.750000 0 0.045434 0 0.037303
10.800000 0 0.045434 0 0.037303
10.850000 0 0.045434 0 0.037303
10.900000 0 0.045434 0 0.037303
10.950000 0 0.045434 0 0.037303
11.000000 0 0.045434 0 0.037303
11.050000 0 0.047360 0 0.109689
11.100000 0 0.047360 0 0.109689
11.150000 0 0.047360 0 0.109689
11.200000 0 0.047360 0 0.109689
11.250000 0 0.047360 0 0.109689
11.300000 0 0.047360 0 0.109689
11.350000 0 0.047360 0 0.109689
11.400000 0 0.047360 0 0.109689
11.450000 0 0.047360 0 0.109689
11.500000 0 0.047360 0 0.109689
11.550000 0 0.047360 0 0.109689
11.600000 0 0.037752 0 0.090606
11.650000 0 0.037752 0 0.090606
11.700000 0 0.037752 0 0.090606
11.750000 0 0.037752 0 0.090606
11.800000 0 0.037752 0 0.090606
11.850000 0 0.037752 0 0.090606
11.900000 0 0.037752 0 0.090606
11.950000 0 0.037752 0 0.090606
12.000000 0 0.037752 0 0.090606
12.050000 0 0.037752 0 0.090606
12.100000 0 0.037752 0 0.090606
12.150000 1 0.002822 1 0.005940
12.200000 1 0.002822 1 0.005940
12.250000 1 0.002822 1 0.005940
12.300000 1 0.002822 1 0.005940
12.350000 1 0.002822 1 0.005940
12.400000 1 0.002822 1 0.005940
12.450000 1 0.002822 1 0.005940
12.500000 1 0.002822 1 0.005940
12.550000 1 0.002822 1 0.005940
12.600000 1 0.002822 1 0.005940
12.650000 1 0.002822 1 0.005940
12.700000 1 0.002623 1 0.004759
12.750000 1 0.002623 1 0.004759
12.800000 1 0.002623 1 0.004759
12.850000 1 0.002623 1 0.004759
12.900000 1 0.002623 1 0.004759
12.950000 1 0.002623 1 0.004759
13.000000 1 0.002623 1 0.004759
13.050000 1 0.002623 1 0.004759
13.100000 1 0.002623 1 0.004759
13.150000 1 0.002623 1 0.004759
13.200000 1 0.002623 1 0.004759
13.250000 1 0.002331 1 0.007953
13.300000 1 0.002331 1 0.007953
13.350000 1 0.002331 1 0.007953
13.400000 1 0.002331 1 0.007953
13.450000 1 0.002331 1 0.007953
13.500000 1 0.002331 1 0.007953
13.550000 1 0.002331 1 0.007953
13.600000 1 0.002331 1 0.007953
13.650000 1 0.002331 1 0.007953
13.700000 1 0.002331 1 0.007953
13.750000 1 0.002331 1 0.007953
13.800000 1 0.002272 1 0.005742
13.850000 1 0.002272 1 0.005742
13.900000 1 0.002272 1 0.005742
13.950000 1 0.002272 1 0.005742
14.000000 1 0.002272 1 0.005742
14.050000 1 0.002272 1 0.005742
14.100000 1 0.002272 1 0.005742
14.150000 1 0.002272 1 0.005742
14.200000 1 0.002272 1 0.005742
14.250000 1 0.002272 1 0.005742
14.300000 1 0.002272 1 0.005742
14.350000 0 0.042621 0 0.047518
14.400000 0 0.042621 0 0.047518
14.450000 0 0.042621 0 0.047518
14.500000 0 0.042621 0 0.047518
14.550000 0 0.042621 0 0.047518
14.600000 0 0.042621 0 0.047518
14.650000 0 0.042621 0 0.047518
14.700000 0 0.042621 0 0.047518
14.750000 0 0.042621 0 0.047518
14.800000 0 0.042621 0 0.047518
14.850000 0 0.042621 0 0.047518
14.900000 0 0.046735 0 0.103174
14.950000 0 0.046735 0 0.103174
15.000000 0 0.046735 0 0.103174
15.050000 0 0.046735 0 0.103174
15.100000 0 0.046735 0 0.103174
15.150000 0 0.046735 0 0.103174
15.200000 0 0.046735 0 0.103174
15.250000 0 0.046735 0 0.103174
15.300000 0 0.046735 0 0.103174
15.350000 0 0.046735 0 0.103174
15.400000 0 0.046735 0 0.103174
15.450000 0 0.030877 0 0.075364
15.500000 0 0.030877 0 0.075364
15.550000 0 0.030877 0 0.075364
15.600000 0 0.030877 0 0.075364
