X Y Z
-110.748041 111.339611 213.455762
-108.918932 111.715737 214.199114
-107.086223 112.084829 214.929132
-105.250005 112.446905 215.645844
-103.410364 112.801980 216.349278
-101.567389 113.150071 217.039460
-99.721165 113.491194 217.716417
-97.871775 113.825365 218.380177
-96.019304 114.152601 219.030767
-94.163831 114.472918 219.668214
-92.305437 114.786331 220.292543
-90.444201 115.092857 220.903782
-88.580200 115.392511 221.501956
-86.713509 115.685309 222.087092
-84.844204 115.971267 222.659216
-82.972358 116.250399 223.218352
-81.098043 116.522722 223.764525
-79.221330 116.788249 224.297761
-77.342290 117.046997 224.818084
-75.460991 117.298978 225.325517
-73.577500 117.544208 225.820084
-71.691885 117.782701 226.301809
-69.804211 118.014471 226.770714
-67.914543 118.239531 227.226821
-66.022943 118.457894 227.670152
-64.129476 118.669575 228.100729
-62.234201 118.874585 228.518571
-60.337181 119.072938 228.923699
-58.438475 119.264645 229.316134
-56.538142 119.449719 229.695893
-54.636240 119.628171 230.062996
-52.732826 119.800013 230.417460
-50.827958 119.965255 230.759304
-48.921692 120.123909 231.088542
-47.014081 120.275986 231.405193
-45.105182 120.421494 231.709271
-43.195048 120.560444 232.000791
-41.283731 120.692846 232.279768
-39.371286 120.818708 232.546214
-37.457763 120.938039 232.800143
-35.543215 121.050848 233.041567
-33.627693 121.157142 233.270498
-31.711246 121.256929 233.486946
-29.793926 121.350217 233.690922
-27.875783 121.437012 233.882434
-25.956864 121.517321 234.061492
-24.037220 121.591150 234.228103
-22.116899 121.658504 234.382276
-20.195949 121.719390 234.524015
-18.274419 121.773813 234.653328
-16.352356 121.821776 234.770218
-14.429808 121.863284 234.874691
-12.506822 121.898341 234.966750
-10.583445 121.926951 235.046398
-8.659726 121.949116 235.113637
-6.735710 121.964840 235.168467
-4.811445 121.974124 235.210891
-2.886978 121.976970 235.240907
-0.962355 121.973381 235.258514
0.962376 121.963356 235.263711
2.887169 121.946897 235.256495
4.811976 121.924004 235.236864
6.736751 121.894678 235.204812
8.661446 121.858917 235.160336
10.586013 121.816721 235.103430
12.510406 121.768088 235.034088
14.434576 121.713018 234.952302
16.358474 121.651508 234.858066
18.282054 121.583555 234.751370
20.205266 121.509157 234.632206
22.128061 121.428312 234.500563
24.050389 121.341015 234.356431
25.972202 121.247262 234.199800
27.893449 121.147050 234.030655
29.814079 121.040374 233.848987
31.734041 120.927229 233.654779
33.653284 120.807610 233.448020
35.571755 120.681511 233.228693
37.489403 120.548926 232.996783
39.406173 120.409849 232.752275
41.322012 120.264274 232.495152
43.236866 120.112193 232.225396
45.150678 119.953599 231.942990
47.063394 119.788484 231.647914
48.974957 119.616842 231.340149
50.885309 119.438663 231.019677
52.794393 119.253939 230.686476
54.702148 119.062661 230.340525
56.608517 118.864821 229.981804
58.513437 118.660409 229.610290
60.416847 118.449415 229.225960
62.318686 118.231830 228.828791
64.218889 118.007644 228.418761
66.117392 117.776845 227.995845
68.014130 117.539425 227.560018
69.909036 117.295371 227.111256
71.802044 117.044673 226.649533
73.693083 116.787320 226.174825
75.582085 116.523301 225.687104
77.468979 116.252603 225.186344
79.353694 115.975216 224.672518
81.236154 115.691127 224.145601
83.116288 115.400325 223.605563
84.994018 115.102796 223.052378
86.869268 114.798530 222.486017
88.741960 114.487513 221.906453
90.612015 114.169734 221.313657
92.479352 113.845179 220.707600
94.343887 113.513836 220.088255
96.205539 113.175692 219.455592
98.064222 112.830735 218.809583
99.919850 112.478951 218.150198
101.772335 112.120329 217.477409
103.621588 111.754855 216.791187
105.467517 111.382517 216.091503
107.310031 111.003302 215.378328
109.149036 110.617197 214.651634
110.984436 110.224189 213.911391
112.816135 109.824267 213.157571
114.644033 109.417418 212.390146
116.468031 109.003630 211.609089
